question,benchmark_answer,user_answer,human_score
What is a race condition and how do you prevent it?,"A race condition occurs when multiple threads access shared data concurrently and at least one modifies it, leading to unpredictable results depending on execution timing. Example: two threads incrementing a counter - both read value 5, increment to 6, write 6, so counter is 6 instead of 7. Prevention techniques: (1) Locks/Mutexes - ensure only one thread accesses critical section at a time, (2) Semaphores - control access to limited resources, (3) Atomic operations - hardware-level operations that complete without interruption, (4) Immutable data - if data can't change, no race conditions, (5) Thread-local storage - each thread has own copy, (6) Message passing - threads don't share memory (Erlang, Go channels), (7) Transactions - database-level atomicity. Best practices: minimize shared state, keep critical sections small, avoid nested locks (deadlock risk), use thread-safe data structures, use language-provided concurrency tools (Java synchronized, Python threading.Lock). Testing concurrent code is challenging - use stress tests, thread sanitizers.","Race condition happens when threads access shared data concurrently with at least one writing, causing unpredictable results. Prevent with: locks/mutexes, semaphores, atomic operations, immutable data, thread-local storage, message passing. Minimize shared state, keep critical sections small, avoid nested locks, use thread-safe structures.",9.0
What is the difference between GET and POST HTTP methods?,"GET and POST are HTTP methods with different purposes and characteristics. GET: retrieves data from server, parameters in URL query string, idempotent (same request multiple times has same effect), cacheable, can be bookmarked, length limited (~2000 chars), visible in browser history, should not modify server state, used for searches, filters, reading. POST: submits data to server, parameters in request body, not idempotent (multiple submissions can create duplicates), not cacheable by default, cannot be bookmarked, no length limit, not in browser history, modifies server state, used for creating, updating, sensitive data. Security: GET parameters visible in logs/history (don't use for passwords), POST more secure for sensitive data but both send data unencrypted without HTTPS. Other methods: PUT (update/replace), PATCH (partial update), DELETE (remove), HEAD (headers only). RESTful APIs use appropriate methods for semantic clarity and caching benefits.","GET retrieves data, params in URL, idempotent, cacheable, bookmarkable, limited length, for reading. POST submits data, params in body, not idempotent, not cacheable, no length limit, for creating/updating. GET params visible in logs, POST more secure but both need HTTPS. REST uses appropriate methods for semantics.",9.0
Explain what a deadlock is and how to prevent it.,"A deadlock is a situation where two or more threads are blocked forever, each waiting for resources held by others, creating a circular dependency. Example: Thread A holds Lock 1 and waits for Lock 2, Thread B holds Lock 2 and waits for Lock 1 - both stuck forever. Four necessary conditions (all must be present): (1) Mutual exclusion - resources cannot be shared, (2) Hold and wait - thread holds resources while waiting for others, (3) No preemption - resources cannot be forcibly taken, (4) Circular wait - circular chain of threads waiting for resources. Prevention strategies: (1) Lock ordering - always acquire locks in same order globally, (2) Lock timeout - use tryLock with timeout, release all and retry, (3) Deadlock detection - periodically check for cycles and break them, (4) Avoid nested locks when possible, (5) Use higher-level concurrency utilities (Java concurrent packages, actor model). Dining philosophers problem is classic deadlock example. Modern approaches: use lock-free data structures, message passing (no shared locks).","Deadlock is circular wait where threads block each other forever. Needs: mutual exclusion, hold-wait, no preemption, circular wait. Prevent by: lock ordering (acquire in same order), timeouts (tryLock), deadlock detection, avoiding nested locks, using concurrent utilities or lock-free structures.",9.0
What is polymorphism in object-oriented programming?,"Polymorphism means 'many forms' - the ability of objects to take multiple forms and respond differently to the same message/method. Types: (1) Compile-time polymorphism (static) - method overloading (same method name, different parameters) and operator overloading, resolved at compile time, (2) Runtime polymorphism (dynamic) - method overriding (subclass provides specific implementation of parent method), resolved at runtime via dynamic binding. Benefits: code reusability, flexibility, extensibility, loose coupling. Example: Animal class with speak() method - Dog overrides to bark(), Cat to meow(). You can write code that works with Animal reference but calls correct speak() based on actual object type. This enables programming to interfaces, not implementations. Polymorphism is a core OOP principle along with encapsulation, inheritance, and abstraction. Essential for design patterns (Strategy, Factory, Template Method) and frameworks that work with user-defined types.","Polymorphism is objects taking many forms, responding differently to same method. Types: compile-time (overloading, resolved at compile), runtime (overriding, resolved at runtime via dynamic binding). Benefits: reusability, flexibility, loose coupling. Example: Animal.speak() calls Dog.bark() or Cat.meow() based on actual type. Core OOP principle.",9.0
What is the difference between mocking and stubbing in testing?,"Both mocking and stubbing are test doubles that replace real dependencies, but they serve different purposes. Stubbing: provides predetermined responses to method calls during tests, focused on state verification, doesn't verify if methods were called, simple and straightforward. Example: stub database to return specific user object. Mocking: similar to stubbing but also records interactions and verifies behavior, focused on behavior verification, asserts that specific methods were called with specific arguments, more complex. Example: mock email service to verify send() was called exactly once with correct parameters. When to use: stubs for providing test data, mocks for verifying interactions. Mock frameworks: Mockito (Java), unittest.mock (Python), Sinon (JavaScript). Best practice: use stubs by default for simpler tests, use mocks when interaction verification is important (e.g., testing that service calls are made). Over-mocking can make tests brittle. Martin Fowler's distinction: stubs answer questions, mocks verify behavior.","Stubbing provides predetermined responses for test data, state verification. Mocking also records interactions and verifies behavior (method calls, arguments). Use stubs for test data, mocks for verifying interactions. Stubs simpler, mocks verify behavior. Don't over-mock - makes tests brittle. Frameworks: Mockito, unittest.mock, Sinon.",8.5
What is a webhook and how does it differ from an API?,"A webhook is a user-defined HTTP callback that sends real-time data from one system to another when specific events occur, while an API requires clients to repeatedly request (poll) for data. API (polling): client initiates requests, checks for updates periodically (every minute), can waste resources checking when nothing changed, client controls timing. Webhook (push): server initiates requests when event occurs, real-time notification, efficient (only sends when something happens), server controls timing. Example: GitHub webhook notifies your server immediately when code is pushed vs API where you poll every minute to check for new commits. Implementation: you provide a URL endpoint, third-party service POSTs data to your endpoint when events occur, you process the payload. Use cases: payment confirmations (Stripe), CI/CD triggers (GitHub), chat notifications (Slack), form submissions. Challenges: need publicly accessible endpoint, handle retries and failures, verify webhook signatures for security. Webhooks reduce latency and load compared to polling.","Webhook is HTTP callback that pushes data when events occur, real-time and efficient. API requires polling (client requests repeatedly), wastes resources. Webhooks: server initiates, immediate, event-driven. Use for: payments, CI/CD, notifications. Need public endpoint, handle retries, verify signatures. More efficient than polling.",9.0
What is the purpose of a load balancer?,"A load balancer distributes incoming network traffic across multiple servers to ensure no single server is overwhelmed, improving availability, reliability, and performance. Key functions: (1) Distribution - spreads requests across server pool, (2) Health checking - monitors servers and removes unhealthy ones from pool, (3) Session persistence - routes user to same server if needed (sticky sessions), (4) SSL termination - handles encryption/decryption. Distribution algorithms: Round Robin (sequential), Least Connections (server with fewest connections), Least Response Time (fastest server), IP Hash (same client to same server). Types: Layer 4 (transport layer, TCP/UDP based) vs Layer 7 (application layer, HTTP-aware, content-based routing). Benefits: horizontal scalability, high availability (redundancy), maintenance without downtime, better user experience. Examples: AWS ELB/ALB, Nginx, HAProxy, F5. Essential component of modern web architectures, especially microservices and cloud environments. Often combined with auto-scaling.","Load balancer distributes traffic across servers for availability and performance. Functions: distribute requests, health checks, session persistence, SSL termination. Algorithms: round robin, least connections, least response time. Types: Layer 4 (TCP/UDP), Layer 7 (HTTP). Benefits: scalability, high availability, zero-downtime maintenance. Tools: AWS ALB, Nginx, HAProxy.",9.0
Tell me about a time you had to give difficult feedback to a peer.,"A colleague consistently missed code review deadlines, blocking team progress. They'd promise to review 'today' but deliver 3 days later, affecting sprint goals. My task was to address this professionally without damaging our relationship. I scheduled a private 1-on-1, approached with curiosity rather than accusation, and started by asking if they were overwhelmed or facing challenges. They revealed they were context-switching between 3 projects and struggling to prioritize. I shared specific impact: 'When reviews take 3 days, it blocks my work and risks sprint commitments.' We collaboratively found solutions: they'd communicate upfront if reviews would take >1 day, I'd mark urgent reviews clearly, and they'd talk to management about project overload. I also offered to pair-program complex reviews to reduce their burden. As a result, review time dropped to <8 hours average, they successfully negotiated to drop one project, and our working relationship actually improved because they appreciated the honest, constructive approach. I learned that difficult conversations with empathy and collaboration strengthen teams.","Colleague missed code review deadlines, blocking team. I scheduled private 1-on-1, asked about challenges with curiosity. They were overwhelmed with 3 projects. I shared specific impact, we found solutions: communicate delays upfront, mark urgent reviews, talk to management. Offered to pair-program. Result: <8hr reviews, they dropped a project, better relationship.",9.0
Describe a time when you had to prioritize multiple projects with competing deadlines.,"I simultaneously handled a critical security vulnerability fix (1 day deadline), a customer-requested feature (committed for end-of-week demo), and a technical debt refactoring (2-week timeline). My task was to deliver all without compromising quality. I assessed using impact/urgency matrix: security fix was highest priority (business risk), customer feature was high (revenue impact, external commitment), refactoring was important but could slip. I blocked my calendar into focused time blocks: security fix got full Day 1 with no interruptions, customer feature got mornings Days 2-4 (high energy time), refactoring got afternoons (less demanding). I proactively communicated status daily to stakeholders and flagged potential risks early. I also negotiated reduced scope for the customer feature: delivered core functionality for demo, scheduled polish for following week. As a result, I fixed security issue in 24 hours (no incidents), delivered working customer feature for demo (customer satisfied, polish added later), and completed 70% of refactoring (finished in Week 3). I learned that transparent communication and strategic time-blocking are crucial for managing parallel priorities.","Faced security fix (1 day), customer feature (week), refactoring (2 weeks). Assessed using impact/urgency, prioritized security first, then customer feature (reduced scope for demo), then refactoring. Time-blocked: security Day 1, feature mornings Days 2-4, refactoring afternoons. Communicated proactively. Delivered all successfully by negotiating scope.",8.5
What is the difference between encryption and hashing?,"Encryption and hashing are cryptographic techniques with different purposes. Encryption: reversible transformation that protects data confidentiality, uses keys to encrypt and decrypt, purpose is to hide data temporarily, decryption recovers original data, types: symmetric (AES - same key) and asymmetric (RSA - public/private keys), used for protecting data in transit/rest (HTTPS, file encryption). Hashing: one-way transformation that creates fixed-size digest, no keys (or with salt), irreversible - cannot get original from hash, same input always produces same hash, purpose is to verify integrity or store passwords, types: MD5 (weak), SHA-256, bcrypt (with salt), used for password storage, data integrity verification, digital signatures. Key difference: encryption is two-way (reversible), hashing is one-way (irreversible). Never encrypt passwords (can be decrypted) - always hash them. Use encryption for confidentiality, hashing for integrity and authentication.","Encryption is reversible with keys, protects confidentiality, two-way (encrypt/decrypt), types: AES, RSA, use for data protection. Hashing is one-way, irreversible, creates fixed digest, no decryption, types: SHA-256, bcrypt, use for passwords and integrity. Never encrypt passwords - always hash. Encryption for confidentiality, hashing for integrity.",9.0
Explain what a memory leak is and how to detect and prevent it.,"A memory leak occurs when a program allocates memory but fails to release it, causing memory consumption to grow over time until the program crashes or system runs out of memory. Causes: circular references, unclosed resources (files, connections), event listeners not removed, global variables accumulating data, retained references to objects no longer needed. Detection: (1) Monitoring - memory usage growing continuously, (2) Profiling tools - Chrome DevTools (heap snapshots), Java VisualVM, Python memory_profiler, Valgrind (C/C++), (3) Symptoms - slower performance, out of memory errors, system slowdown. Prevention: (1) Proper resource management - use try-finally or context managers (Python with), (2) Remove event listeners when done, (3) Clear references when objects no longer needed, (4) Use weak references for caches, (5) Limit scope of variables, (6) Regular code reviews. Languages with garbage collection (Java, Python) still have leaks if objects are referenced. Manual memory management (C/C++) requires explicit free/delete. Regular memory profiling in development catches leaks early.","Memory leak happens when allocated memory isn't released, causing growth until crash. Causes: circular refs, unclosed resources, lingering event listeners, retained references. Detect: monitoring growth, profiling tools (Chrome DevTools, VisualVM, Valgrind). Prevent: proper resource management, remove listeners, clear references, use weak refs, limit scope.",9.0
"What is the difference between SQL JOIN types (INNER, LEFT, RIGHT, FULL)?","SQL JOINs combine rows from multiple tables based on related columns. Types: (1) INNER JOIN - returns only rows with matches in both tables, most common, filters out non-matching rows, (2) LEFT JOIN (LEFT OUTER) - returns all rows from left table plus matches from right, NULL for right columns with no match, preserves all left table data, (3) RIGHT JOIN (RIGHT OUTER) - returns all rows from right table plus matches from left, NULL for left columns with no match, preserves all right table data, (4) FULL OUTER JOIN - returns all rows from both tables with matches combined, NULL where no match exists, preserves all data from both tables. Example: Users LEFT JOIN Orders shows all users even if no orders (orders columns NULL). Use: INNER for only related data, LEFT for 'all from left, optionally from right', FULL for 'everything from both tables'. Performance: INNER JOIN usually fastest. Choose based on business logic: want all records from one table or only matching records?","INNER JOIN returns only matching rows from both tables. LEFT JOIN returns all from left table, matches from right (NULL if no match). RIGHT JOIN returns all from right, matches from left. FULL OUTER returns all from both with NULLs where no match. Use INNER for related data only, LEFT/RIGHT to preserve one side.",9.0
What is dependency injection and what problem does it solve?,"Dependency Injection (DI) is a design pattern where objects receive their dependencies from external sources rather than creating them internally, implementing Inversion of Control (IoC). Instead of 'class A creates instance of B', 'class A receives B instance'. Types: (1) Constructor injection - dependencies passed via constructor (most common, preferred), (2) Setter injection - dependencies set via setter methods, (3) Interface injection - less common. Problems it solves: (1) Tight coupling - classes don't depend on concrete implementations, (2) Testability - easy to inject mock dependencies for testing, (3) Flexibility - change implementations without modifying class, (4) Separation of concerns - classes focus on logic, not object creation. Example: UserService doesn't create UserRepository internally, receives it via constructor, allowing easy testing with mock repository. DI containers/frameworks: Spring (Java), .NET Core DI, Angular DI. Benefits: loose coupling, better testing, easier refactoring, clearer dependencies. Core principle of SOLID (Dependency Inversion).","Dependency Injection passes dependencies to objects instead of creating them internally. Types: constructor (preferred), setter, interface. Solves: tight coupling, testability (inject mocks), flexibility (swap implementations), separation of concerns. Frameworks: Spring, .NET Core, Angular. Enables loose coupling, better testing, clearer dependencies. Implements IoC and Dependency Inversion.",9.0
Explain what eventual consistency means in distributed systems.,"Eventual consistency is a consistency model where, given enough time without updates, all replicas of data in a distributed system will converge to the same value, but they may temporarily have different values. Characteristics: (1) Weak consistency - reads may return stale data, (2) High availability - system remains operational during network partitions, (3) Optimistic replication - accept writes without coordinating all replicas, (4) Asynchronous propagation - updates spread in background. Trade-offs: favors availability over strong consistency (CAP theorem - AP systems). Examples: DNS (changes take time to propagate), Amazon DynamoDB, Cassandra, social media feeds (eventual propagation of posts). Challenges: conflict resolution (last-write-wins, version vectors), user experience (seeing old data), application logic complexity. Best for: systems where temporary inconsistency is acceptable (shopping cart, read-heavy workloads, analytics). Not suitable for: financial transactions, inventory management. Contrast with strong consistency: all reads see latest write immediately but less available during partitions.","Eventual consistency means replicas converge to same value over time but may temporarily differ. Weak consistency, high availability, async propagation. Trade-off: availability over consistency (AP systems). Examples: DNS, DynamoDB, Cassandra, social feeds. Challenges: conflict resolution, stale data. Good for: shopping carts, reads. Bad for: financial transactions.",9.0
What is the purpose of API versioning and what are common strategies?,"API versioning allows evolving APIs while maintaining backward compatibility for existing clients, preventing breaking changes from disrupting users. Why needed: adding/removing fields, changing response formats, modifying behavior, introducing new features. Common strategies: (1) URI versioning - version in path (api.com/v1/users), most visible, simple, requires URL changes, (2) Header versioning - version in custom header (Accept: application/vnd.api.v1+json), cleaner URLs, less visible, (3) Query parameter - version as param (api.com/users?version=1), simple but easily omitted, (4) Content negotiation - version in Accept header (Accept: application/vnd.api+json; version=1), RESTful but complex. Best practices: (1) Use semantic versioning (major.minor.patch), (2) Increment major version for breaking changes, (3) Support at least 2 versions simultaneously, (4) Deprecation policy with clear timeline, (5) Document changes clearly. Most popular: URI versioning for simplicity. Modern: use header versioning for true REST. Important: version early to avoid breaking existing users.","API versioning evolves APIs while maintaining backward compatibility. Strategies: URI versioning (/v1/users, simple), header versioning (Accept header, cleaner), query param (?version=1), content negotiation (complex but RESTful). Best practices: semantic versioning, major version for breaking changes, support 2+ versions, deprecation policy, clear docs. URI most popular.",8.5
What is the difference between stateful and stateless applications?,"Stateful applications retain client session data on the server between requests, while stateless applications don't store session data - each request contains all needed information. Stateful: server remembers previous interactions, session data in server memory/database, requires session affinity (same client to same server), examples: traditional web apps with server sessions, WebSocket connections. Stateless: each request is independent, no server-side session storage, any server can handle any request, examples: RESTful APIs, JWT-based auth. Advantages of stateless: (1) Scalability - easy horizontal scaling, no session sync needed, (2) Reliability - server failure doesn't lose sessions, (3) Simplicity - no session management complexity, (4) Load balancing - any server works. Advantages of stateful: (1) Less data transfer - don't resend everything, (2) Simpler client logic, (3) Better for real-time (WebSockets). Modern trend: stateless for scalability, use client-side state (JWT tokens) or external state stores (Redis) when needed. Microservices prefer stateless for flexibility.","Stateful retains session data on server between requests, needs session affinity, examples: traditional sessions, WebSockets. Stateless has no server session, each request independent, any server works, examples: REST APIs, JWT auth. Stateless benefits: scalability, reliability, simplicity, easy load balancing. Modern preference: stateless with external state stores if needed.",9.0
Tell me about a time when you had to optimize code for performance.,"Our data analytics dashboard took 30+ seconds to load, causing user complaints and timeouts. My task was to reduce load time to under 5 seconds. I first profiled the application using Chrome DevTools and identified bottlenecks: (1) N+1 database query problem - 500+ queries for one page load, (2) No database indexes on frequently queried columns, (3) Large JSON payloads with unnecessary data, (4) No caching layer. I implemented fixes systematically: refactored queries to use JOIN and eager loading (500 queries → 3 queries), added composite indexes on filter columns, implemented field-level filtering in API to reduce payload by 70%, and added Redis caching for frequently accessed aggregations with 10-minute TTL. I also added query performance monitoring to catch future regressions. As a result, page load time dropped from 30s to 2.8s (90% improvement), database CPU usage decreased 75%, user satisfaction increased significantly, and we could handle 3x traffic. I learned that profiling before optimizing is crucial - focus on actual bottlenecks, not guesses.","Dashboard took 30s to load. I profiled with Chrome DevTools, found: N+1 queries (500+), no indexes, large payloads, no caching. Fixed: used JOINs/eager loading (3 queries), added indexes, filtered API responses (70% smaller), added Redis caching. Result: 2.8s load time (90% faster), 75% less DB CPU, handled 3x traffic. Learned to profile first.",9.0
What is the difference between cookies and JWT tokens for authentication?,"Cookies and JWT (JSON Web Tokens) are both used for authentication but have different characteristics. Cookies: server creates session, stores session ID in HTTP cookie, sent automatically by browser with every request to same domain, stateful (server maintains session store), vulnerable to CSRF, can set HttpOnly (JavaScript can't access) and Secure (HTTPS only) flags, domain-restricted. JWT: self-contained token with encoded user claims, sent in Authorization header (or cookie), typically stateless (server doesn't store tokens), vulnerable to XSS if stored in localStorage, must be sent explicitly, can be used cross-domain. Cookies pros: automatic sending, HttpOnly protection, easier to invalidate. JWT pros: stateless scaling, works cross-domain, mobile-friendly, microservices-friendly. Cookies cons: CSRF risk, domain-restricted. JWT cons: larger size, can't revoke easily, XSS risk if in localStorage. Best practice: store JWT in httpOnly cookie for best security (combines benefits). Modern approach: refresh token (long-lived, in httpOnly cookie) + access token (short-lived, in memory).","Cookies: session ID in HTTP cookie, sent automatically, stateful, HttpOnly protection, CSRF risk, domain-restricted. JWT: self-contained token in header, stateless, works cross-domain, larger size, can't revoke easily, XSS risk if in localStorage. Best: JWT in httpOnly cookie. Modern: refresh token in cookie + short-lived access token.",9.0
Explain what a reverse proxy is and give examples of its uses.,"A reverse proxy sits between clients and backend servers, forwarding client requests to appropriate servers and returning responses. Unlike forward proxy (hides clients), reverse proxy hides servers. Functions: (1) Load balancing - distributes requests across multiple servers, (2) SSL termination - handles HTTPS encryption/decryption, reducing server load, (3) Caching - stores static content to reduce backend load, (4) Compression - compresses responses for faster transfer, (5) Security - hides backend infrastructure, blocks malicious requests, (6) Request routing - routes to different services based on URL path. Use cases: (1) Serving multiple apps from one domain (/api → API server, / → web server), (2) Microservices gateway (single entry point), (3) Static file serving with caching, (4) DDoS protection, (5) A/B testing and canary deployments. Examples: Nginx (most popular), Apache, HAProxy, AWS ALB, Cloudflare. Benefits: improved security (single hardened entry point), better performance (caching, compression), simplified client access (one endpoint), easier maintenance (change backends without affecting clients). Essential for production web architectures.","Reverse proxy forwards client requests to backend servers, hides servers. Functions: load balancing, SSL termination, caching, compression, security, request routing. Uses: multiple apps from one domain, microservices gateway, static serving, DDoS protection, A/B testing. Examples: Nginx, Apache, HAProxy, AWS ALB. Benefits: security, performance, simplified access.",9.0
What is technical debt and how should it be managed?,"Technical debt is the implied cost of future rework caused by choosing quick, easy solutions now instead of better approaches that would take longer. Like financial debt, it accrues 'interest' - the extra effort required for future changes. Causes: (1) Time pressure/deadlines, (2) Lack of knowledge/experience, (3) Business priorities over code quality, (4) Evolving requirements, (5) Technology changes. Types: deliberate (conscious shortcuts) vs accidental (didn't know better), prudent vs reckless. Impact: slower feature development, more bugs, lower team morale, harder onboarding. Management strategies: (1) Track explicitly - maintain debt backlog with impact assessment, (2) Allocate time - dedicate 10-20% sprint capacity to debt, (3) Prevent accumulation - code reviews, standards, refactoring as you go, (4) Prioritize by impact - fix high-interest debt first (frequently modified, blocking features), (5) Communicate business impact - slower features, more bugs, engineer turnover. Not all debt is bad - strategic debt for speed may be worth it if managed. Key: transparency and continuous paydown, not ignoring until crisis.","Technical debt is future rework cost from choosing quick solutions over better approaches. Causes: time pressure, lack of knowledge, business priorities. Types: deliberate/accidental, prudent/reckless. Impact: slower development, more bugs. Manage: track in backlog, allocate 10-20% sprint time, prevent via reviews, prioritize high-impact debt, communicate business cost. Strategic debt okay if managed.",9.0
What is the difference between synchronous and asynchronous communication in microservices?,"Synchronous communication has services waiting for immediate response (request-response), while asynchronous communication has services sending messages without waiting for response. Synchronous: (1) Implementation - REST API calls, gRPC, (2) Characteristics - caller blocks until response, tight temporal coupling (both services must be available), simple to understand and debug, (3) Use cases - queries, immediate results needed, user-facing operations. Asynchronous: (1) Implementation - message queues (RabbitMQ, Kafka), event streaming, pub-sub, (2) Characteristics - fire-and-forget, loose coupling (temporal independence), services can be offline, eventual consistency, complex error handling, (3) Use cases - long-running tasks, notifications, event-driven architectures, eventual consistency acceptable. Synchronous pros: simpler, immediate feedback, easier debugging. Cons: tighter coupling, cascading failures, reduced availability. Asynchronous pros: loose coupling, better resilience, independent scaling. Cons: complexity, debugging harder, eventual consistency. Best practice: use sync for queries/user interactions, async for commands/events. Often combined: API gateway (sync) → message queue (async) → workers.","Synchronous: request-response (REST, gRPC), caller blocks, tight coupling, both services must be available, simple, for queries/immediate results. Asynchronous: message queues (RabbitMQ, Kafka), fire-and-forget, loose coupling, services independent, eventual consistency, complex, for long tasks/events. Use sync for queries, async for commands. Often combined.",9.0
Explain what idempotency means in the context of APIs and why it's important.,"Idempotency means an operation can be repeated multiple times with the same result as doing it once - additional executions don't change the outcome. In APIs, an idempotent request produces same server state whether called once or multiple times. HTTP methods idempotency: GET, PUT, DELETE are idempotent; POST is not (multiple POSTs create multiple resources). Example: DELETE /users/123 is idempotent (user deleted after first call, subsequent calls don't change state), POST /users creates new user each time (not idempotent). Importance: (1) Reliability - can safely retry failed requests without duplicates, (2) Network issues - handle timeouts/failures gracefully, (3) User experience - prevent double-submissions (user clicks button twice), (4) Distributed systems - ensure consistency despite retries. Implementation strategies: (1) Idempotency keys - client sends unique key, server tracks processed keys, (2) Natural idempotency - use PUT with specific IDs instead of POST, (3) Conditional requests - use ETags/If-Match headers. Payment APIs especially critical - prevent charging twice. Design APIs to be idempotent where possible for robustness.","Idempotency means operation repeated multiple times has same result as once. HTTP: GET, PUT, DELETE idempotent; POST not. Important for: safe retries, handling network issues, preventing double-submissions, distributed system consistency. Implement: idempotency keys, use PUT with IDs, conditional requests. Critical for payments. Design APIs idempotent for robustness.",9.0
Tell me about a time when you took initiative beyond your assigned responsibilities.,"I noticed our team spent hours every sprint manually testing deployment procedures in staging before production releases, often finding configuration issues that delayed releases. While not my responsibility (I was a backend engineer, DevOps handled deployments), I saw an opportunity to improve. My task was to reduce deployment risk and time without stepping on DevOps toes. I analyzed past deployment failures and found 80% were configuration mismatches between staging and production. I proposed creating infrastructure-as-code templates using Terraform to ensure environment parity and automated deployment smoke tests. I collaborated with DevOps (not trying to replace them, but support), created a proof-of-concept over two weekends, and demonstrated 90% reduction in manual testing time. I also documented the approach and offered to train the team. As a result, DevOps adopted the solution, deployment failures decreased from 1-in-5 to 1-in-20, release time reduced from 4 hours to 45 minutes, and I was given a spot bonus for initiative. I learned that identifying process improvements and collaborating cross-functionally creates impact beyond individual contributions.","Team spent hours manually testing deployments. Not my responsibility but I saw opportunity. Analyzed failures (80% config mismatches), proposed infrastructure-as-code and automated smoke tests. Built proof-of-concept on weekends, collaborated with DevOps. Result: 90% less testing time, 4x fewer failures, 45-min releases vs 4hrs, received bonus. Learned cross-functional collaboration creates big impact.",9.0
"What is the difference between unit tests, integration tests, and end-to-end tests?","These test types form a testing pyramid with different scopes and purposes. Unit tests: test individual functions/methods in isolation, use mocks/stubs for dependencies, very fast (milliseconds), many tests (1000s), catch logic bugs early, highest ROI, written by developers. Integration tests: test multiple components working together (e.g., service + database), use real dependencies or test doubles for external services, slower (seconds), moderate number (100s), catch interface/interaction bugs, verify components integrate correctly. End-to-end (E2E) tests: test complete user workflows through entire system including UI, use real environment, slowest (minutes), fewest tests (10s), catch real-world scenarios, verify system works as whole, often brittle. Testing pyramid: many unit tests (base), fewer integration tests (middle), few E2E tests (top). Rationale: unit tests give fast feedback and pinpoint failures, E2E tests catch integration issues but are slow and harder to debug. Best practice: 70% unit, 20% integration, 10% E2E. All three types needed for comprehensive coverage.","Unit: test functions in isolation, mocked dependencies, very fast, many tests, catch logic bugs. Integration: test components together, real dependencies, slower, moderate tests, catch interface bugs. E2E: test full workflows through system, real environment, slowest, few tests, catch real scenarios. Pyramid: 70% unit, 20% integration, 10% E2E. All needed for full coverage.",9.0
What is database sharding and when would you use it?,"Database sharding is horizontal partitioning that splits large databases across multiple servers (shards), with each shard containing a subset of data. Unlike replication (copies of same data), sharding distributes different data to different shards. Approaches: (1) Range-based - partition by ID ranges (1-1M → Shard1, 1M-2M → Shard2), simple but risks hot spots, (2) Hash-based - hash key determines shard (consistent hashing), even distribution but range queries hard, (3) Geographic - shard by location for data locality, (4) Directory-based - lookup table maps keys to shards, flexible but added complexity. Benefits: (1) Horizontal scalability beyond single server limits, (2) Improved performance - parallel queries, smaller indexes, (3) Reduced blast radius - shard failure affects subset. Challenges: (1) Increased complexity - application must route to correct shard, (2) Cross-shard queries expensive, (3) Rebalancing difficult, (4) Transactions across shards hard. When to use: database too large for single server, write throughput exceeds single server, data naturally partitioned (multi-tenant). Start with vertical scaling and read replicas first; shard when necessary.","Sharding horizontally partitions database across multiple servers, each shard has different data. Approaches: range-based, hash-based (consistent hashing), geographic, directory-based. Benefits: horizontal scalability, better performance, fault isolation. Challenges: complexity, cross-shard queries, rebalancing, distributed transactions. Use when: DB too large, high write throughput, naturally partitioned data. Try vertical scaling and replicas first.",9.0
What is the purpose of a message queue and what are common use cases?,"A message queue is middleware that enables asynchronous communication between services by storing messages until consumers process them, decoupling producers and consumers. How it works: producer sends message to queue, queue stores message reliably, consumer retrieves and processes message at own pace, message acknowledged when processed. Benefits: (1) Decoupling - services don't need to be available simultaneously, (2) Load leveling - queue absorbs traffic spikes, consumers process at steady rate, (3) Reliability - messages persisted, won't lose if consumer down, (4) Scalability - add more consumers for higher throughput, (5) Asynchrony - producer doesn't block waiting. Use cases: (1) Task processing - sending emails, generating reports, (2) Microservices communication - event-driven architecture, (3) Log aggregation - collecting logs from multiple services, (4) Data pipeline - ETL workflows, (5) Order processing - e-commerce workflow. Examples: RabbitMQ, Apache Kafka (high-throughput streaming), AWS SQS, Redis Queue. Message patterns: point-to-point (one consumer), pub-sub (multiple consumers). Essential for building resilient, scalable distributed systems.","Message queue enables async communication by storing messages until consumers process them. Benefits: decoupling, load leveling (absorb spikes), reliability (persist messages), scalability (add consumers), asynchrony. Uses: task processing, microservices communication, log aggregation, data pipelines, order processing. Examples: RabbitMQ, Kafka, AWS SQS. Patterns: point-to-point, pub-sub. Essential for distributed systems.",9.0
Describe a time when you had to make a trade-off between code quality and delivery speed.,"Our startup needed to launch a new feature for a major investor demo in 5 days, but implementing it properly with full test coverage would take 10 days. My task was to balance speed with quality without accumulating dangerous debt. I assessed risks and proposed a phased approach: Phase 1 - implement core happy path with critical edge case handling (5 days), achieve 60% test coverage focusing on business-critical flows, use feature flag for safe rollback, document known limitations and technical debt items. Phase 2 - add comprehensive error handling, increase test coverage to 90%, refactor for maintainability (scheduled for following week). I also set clear boundaries: no skipping security validation, no hardcoded credentials, must handle basic error cases. I explicitly logged technical debt items in backlog with business justification and payback timeline. As a result, we launched on time for the demo (which succeeded), the feature worked reliably for demo scenarios, we completed Phase 2 the following week before public launch, and we avoided reckless debt while meeting business needs. I learned that conscious, documented trade-offs with payback plans are very different from reckless corner-cutting.","Investor demo needed feature in 5 days, proper implementation needed 10. I proposed phased approach: Phase 1 core happy path with 60% test coverage, feature flag, documented debt (5 days). Phase 2 comprehensive handling and 90% coverage (next week). Set boundaries: no security shortcuts. Logged debt with payback plan. Result: successful demo on time, Phase 2 before public launch, avoided reckless debt.",9.0
